1 famiglia tintura per unito	100/188	2,63	189/399	1,4	400/599	1,26	600/799	1,13	999999999999	0,92		0	
fam 19 purga in continua e finissaggio		0,5		0		0		0		0		0	Tintea
fam 20 tintura per unito	60	5,5	100/159	3,3	160/399	2,19	400/599	2,02	600/799	1,83	800/999	1,64	Tintea
fam 25 trattamento teflon	220/9999	0,54		0		0		0		0		0	Tintea
colori tint.diretta x art.lange'	60/200	2	201/600	1,55		0		0		0		0	Tintoria di Senna
purga x art.lange'	60/600	6	0	0		0		0		0		0	Tintoria di Senna
fam. 3500 J	60/79	3,7	80/119	2,8	120/240	1,81	241/480	1,74	481/599	1,46	600/700	1,37	Vierre Color
fam. 5000 J	60/73	3,7	74/119	3,02	120/240	2,33	241/480	2	481/9999	1,78			Vierre Color
fam. 1000 J	60/90	3,7	91/119	2,43	120/240	1,16	241/480	1,08	481/1050	0,92	1050/9999	0,88	Vierre Color
fam. 1000 OF	60/86	3,7	87/119	2,54	120/240	1,38	241/480	1,2	481/1050	0,98	1050/9999	0,88	Vierre Color
fam. 2000 OF	60/74	3,7	75/119	2,96	120/240	2,23	241/480	1,96	481/1050	1,49	1050/9999	1,2	Vierre Color
fam. 2500 J	60/77	3,7	78/119	2,85	120/240	1,99	241/480	1,75	481/9999	1,5			Vierre Color
fam. 3500 OF	60/66	3,7	67/119	3,3	120/160	2,86	161/240	2,46	241/600	1,76	601/9999	1,38	Vierre Color
fam. 3506 OF	60/70	3,7	71/119	3,11	120/160	2,52	161/240	2,19	241/500	1,81	501/1000	1,56	Vierre Color
fam. 4000 J	60/79	3,7	80/119	2,8	120/240	1,89	241/480	1,73	481	1,48			Vierre Color
fam. 4000 OF	60/79	3,7	80/119	2,8	120/240	1,89	241/480	1,68	481	1,38			Vierre Color
purga e sbozzima celine	500	0,66											Vierre Color
fam. 5002 J	60	0	120/240	0	241/480	0	481	0					Vierre Color
fam. 5000 J bianco	60	2,08	61/119	1,82	120/240	1,55	241/480	1,23	481	1,2			Vierre Color
fam. 5000 J purga	60	1,74	61/119	1,52	120/240	1,29	241/480	1,02	481	0,8			Vierre Color
fam. 2000 OF purga	60	1,74	61/119	1,42	120/240	1,11	241/480	0,96	481/1050	0,74	1050/99999	0,58	Vierre Color
fam. 1000 J bianco	60	2,08	61/119	1,45	120/240	0,83	241/480	0,76	481/1050	0,64	1050/99999	0,64	Vierre Color
fam. 1000 J purga	60	1,74	61/119	1,16	120/240	0,59	241/480	0,54	481/1050	0,46	1050/99999	0,46	Vierre Color
fam. 1000 OF bianco	60	2,08	61/119	1,52	120/240	0,96	241/480	0,83	481/1050	0,68	1050/99999	0,61	Vierre Color
fam. 1000 OF purga	60	1,74	61/119	1,21	120/240	0,68	241/480	0,58	481/1050	0,49	1050/99999	0,44	Vierre Color
fam. 2000 OF bianco	60	2,08	61/119	1,82	120/240	1,56	241/480	1,34	481/1050	1,04	1050/99999	0,84	Vierre Color
fam. 2500 J bianco	60	2,08	61/119	1,74	120/240	1,4	241/480	1,22	481/9999	1,04			Vierre Color
fam. 2500 J purga	60	1,74	61/119	1,37	120/240	1	241/480	0,87	481/9999	0,75			Vierre Color
fam. 3500 J bianco	60	2,08	61/119	1,67	120/240	1,27	241/480	1,21	481/9999	1,01			Vierre Color
fam. 3500 J purga	60	1,74	61/119	1,32	120/240	0,9	241/480	0,86	481/9999	0,73			Vierre Color
fam. 3500 OF  bianco	60	2,08	61/119	2,04	120/160	2	161/240	1,72	241/600	1,23	601/9999	0,96	Vierre Color
fam. 3500 OF purga	60	1,74	61/119	1,6	120/160	1,42	161/240	1,23	241/600	0,88	601/9999	0,68	Vierre Color
fam. 3506 OF bianco	60	2,08	61/119	1,92	120/160	1,76	161/240	1,54	241/500	1,27	501/1000	1,09	Vierre Color
fam. 3506 OF purga	60	1,74	61/119	1,5	120/160	1,25	161/240	1,09	241/500	0,91	501/1000	0,78	Vierre Color
fam. 4000 J bianco	60	2,08	61/119	1,7	120/240	1,32	241/480	1,21	481/9999	1,03			Vierre Color
fam. 4000 J purga	60	1,74	61/119	1,34	120/240	0,94	241/480	0,86	481/9999	0,74			Vierre Color
fam. 4000 OF bianco	60	2,08	61/119	1,7	120/240	1,32	241/480	1,93	481/9999	0,97			Vierre Color
fam. 4000 OF purga	60	1,74	61/119	1,35	120/240	0,94	241/480	0,83	481/9999	0,7			Vierre Color
fam. 2000 J	60/81	3,7	82/119	2,7	120/240	1,7	241/480	1,32	481/1050	1,11	1050/999	0,93	Vierre Color
double juta beige var.1	500	1,35											Vierre Color
lavoraz. Justin	60	3,7	61/119	2,96	120/240	2,23	241/480	1,96	481/999	1,49	1000/9999	1,13	Vierre Color
P fam. 6000	60	0	61/119	0	120/240	0	241/480	0	481	0			Vierre Color
tintura col.solidi	78/399	2,8	400/599	2,5	600/799	2,2	800/999	1,95	1000/9999	1,45			Vierre Color
lavoraz. Justin +wally	60	7,4	61/119	6,26	120/240	6	241/600	4,87	601/9999	3,87	0	0	Vierre Color
fam. 2000 OF MICRODOBLE/DOUBLE VELOUR	60	7,4	61/119	5,92	120/240	4,46	241/480	3,82	481/1050	2,98	1050/9999	2,4	Vierre Color
LAV. FODERA nylon gucci	800/99999	1,05		0		0		0		0		0	Vierre Color
tintura art.justin 2 colori x alfredo	1600/9999	1,15											Vierre Color
